"ec","insect_51_WholeSpecimen","insect_52_WholeSpecimen","insect_53_WholeSpecimen","insect_54_WholeSpecimen","insect_55_WholeSpecimen","insect_56_WholeSpecimen","insect_57_WholeSpecimen","insect_58_WholeSpecimen","insect_59_WholeSpecimen","insect_60_WholeSpecimen","insect_61_WholeSpecimen","insect_62_WholeSpecimen","insect_63_WholeSpecimen","insect_64_WholeSpecimen","insect_65_WholeSpecimen","insect_66_WholeSpecimen","insect_67_WholeSpecimen","insect_68_WholeSpecimen","insect_69_WholeSpecimen","insect_70_WholeSpecimen","mean_abundance","description"
"2.7.1.21",13789.02,4929.51,7355.38,13782.7,17543.96,21216,5343,1358.4,28146.55,6984.22,10934.34,18933.17,15918.23,3175.66,16440.38,9573.35,10287.81,30602.21,15061.17,15302.1,13333.858,"Thymidine kinase"
"2.1.3.3",14357.02,5311.51,8275.51,9592.44,30268.17,34248,4469.75,1509.4,9191.89,7393.53,8761.88,19625.82,16307.11,3161.76,14861.84,9015.92,26538.14,7366.12,20835.24,15419.35,13325.52,"Ornithine carbamoyltransferase"
"1.13.11.81",12853.17,5618.78,7745.88,8707.9,6574.79,6709.8,9934.75,30545.4,23834.21,7534.3,9652.21,19768.95,10612.25,3127.17,14250.3,15694.71,34809.26,4915.5,16457.26,15779.75,13256.317,"7,8-dihydroneopterin oxygenase"
"5.1.99.8",12853.17,5618.78,7745.88,8707.9,6574.79,6709.8,9934.75,30545.4,23834.21,7534.3,9652.21,19768.95,10612.25,3127.17,14250.3,15694.71,34809.26,4915.5,16457.26,15779.75,13256.317,"7,8-dihydroneopterin epimerase"
"2.3.3.1",13115.53,4404.71,6873.33,8690.3,22095.11,21091.2,9878.75,31443,20019.47,6989.32,8026.26,11217.32,8178.67,3170.21,10822.09,15929.72,37251.52,2802.25,19487.13,3623.75,13255.482,"Citrate (Si)-synthase"
"2.7.8.7",13820.02,5256.84,7656.44,9583.17,19890.73,20047,4610,31274.9,7435,7619.22,9751.17,16844.98,16396.49,3169.33,13635.92,13786.28,27117.65,5391.5,15354.25,15215.1,13192.7995,"Holo-[acyl-carrier-protein] synthase"
"2.6.1.66",25066.78,8284.73,6270,16869.4,7450.75,23790.8,13949.75,507.4,20418.07,12415.97,11568.92,18953.83,7568.05,5781.67,19065.31,14937.33,16993,1069.97,13490.42,18473.25,13146.27,"Valine--pyruvate transaminase"
"3.2.2.21",13748.2,3563.99,7404.69,13668.17,14893.04,18383.2,4348.75,31158,9909.12,6683.09,10000.54,7318.68,9173.65,3282.5,13263.25,9607.5,39723.61,30117.57,12756.43,3309.35,13115.6665,"DNA-3-methyladenine glycosylase II"
"2.7.7.24",14195.18,4983.96,6203.65,13590.87,19413.64,21324,9829.75,1270.4,24643.29,7511.53,10051.19,14250.62,13250.22,3106.55,12784.94,10667.48,23730.18,27161.12,15393.5,8194.35,13077.821,"Glucose-1-phosphate thymidylyltransferase"
"1.1.1.157",13657.89,5571.39,3795.05,14749.5,14341.89,6491.5,5437,1549.4,28679.14,7501.54,10621.18,17476.24,9246.15,3285.82,20495.16,11229.43,22794.48,30308.29,18606.75,15367.1,13060.245,"3-hydroxybutyryl-CoA dehydrogenase"
"4.2.3.3",13859.38,4651.51,6650.96,13648.6,24519.86,20343.8,5363,294.4,27306.72,7295.89,10631.54,18352.46,9758.62,3255.66,14956.39,9645.95,8108.07,29568.34,17376.46,15299.1,13044.3355,"Methylglyoxal synthase"
"2.5.1.78",13851.25,3894.44,7960.41,9730.17,14104.29,21257.2,9789.75,30882,22789.31,6872.09,9157.64,9272.16,8125.41,3228.33,11403.89,16017.78,36563.69,5340.03,16062.71,3647.35,12997.495,"6,7-dimethyl-8-ribityllumazine synthase"
"2.5.1.61",13975.82,4378.44,8757.48,9763.27,11013.46,8318.6,13187.75,32818,6373.17,7241.92,11340.14,9469.76,7271.13,3277.33,11107.59,23296.45,48894.16,6112.7,19626.54,3651.35,12993.753,"Hydroxymethylbilane synthase"
"2.8.1.8",12817.97,3675.11,7264.28,12883.87,2530.79,7097.2,9722.75,31066,24411.61,6938.1,11189.89,7725.4,2687.47,3191.97,13916.1,16647.95,37780.99,29051.7,15541.45,3627.35,12988.3975,"Lipoyl synthase"
"1.1.1.169",12789.17,5008.32,5500.22,9428.7,21081.21,21501.8,5520.75,1204.4,23159.38,7001.93,7019.16,24260.38,15367.89,3011.08,15677.3,8410.97,33548.47,2122.46,22184.67,15536.75,12966.7505,"2-dehydropantoate 2-reductase"
"2.5.1.9",13810.96,3894.44,8140.31,9728.77,13681.29,21331.2,9725.75,30882,22704.17,6880.09,9152.64,9971.55,6938.41,3234.33,11443.56,16015.45,36300.49,5290.7,16148.46,3647.35,12946.096,"Riboflavin synthase"
"1.1.1.193",13810.96,4210.44,7972.18,9730.77,13697.29,21143.2,9725.75,30882,22687.17,6916.26,9146.64,9467.02,7677.77,3263,11274.02,16021.52,36230.23,5305.34,15999.46,3647.35,12940.4185,"5-amino-6-(5-phosphoribosylamino)uracil reductase"
"3.5.4.26",13810.96,4210.44,7940.85,9728.77,13697.29,21139.2,9725.75,30882,22687.17,6916.26,9146.64,9467.02,7677.77,3228.33,11272.02,16017.52,36230.23,5298.34,15999.46,3647.35,12936.1685,"Diaminohydroxyphosphoribosylaminopyrimidine deaminase"
"5.1.3.3",13672.04,5073.56,6496.25,8545,32873.68,19945.4,6463,2947.4,38393.6,6909.79,7250.86,23594.96,26228.1,2993.07,14124.05,6813.73,3916.2,2812.78,13613.32,15377.5,12902.2145,"Aldose 1-epimerase"
"4.6.1.1",26100.92,5876.73,11282.57,22138.54,7920.41,8960.5,9312.75,349,23633.64,11581.42,14276.82,5787.86,1934.38,6015.47,20055.95,14207.63,22414.23,28220.53,11593.25,6206.85,12893.4725,"Adenylate cyclase"
"1.12.1.3",2191.51,713.13,7298.71,14625.5,23043.31,1017,1964,200,53480.26,3309.02,13947.35,4730.87,3594.74,844.96,10890.71,5162.92,13262.48,89255,7897.22,436.2,12893.2445,"Hydrogen dehydrogenase (NADP(+))"
"2.5.1.74",12831.04,6768.51,1781.81,8533.17,16939.56,34639.6,5552,554.8,23636.73,7238.09,7278.49,29540.59,23085.32,2909.53,17629.33,7722.62,7159.11,1650.29,14877.74,27408.5,12886.8415,"1,4-dihydroxy-2-naphthoate polyprenyltransferase"
"2.2.1.7",15044.85,3784.44,7981.97,10601.77,26040.11,21063.2,9686.75,1185,23440.5,7311.42,9558.28,10305.94,14258.98,3219.33,11135.23,16251.68,35733.16,5449.7,20059.67,3598.35,12785.5165,"1-deoxy-D-xylulose-5-phosphate synthase"
"3.4.25.2",12863.17,5267.78,6187.92,8558.57,8543.32,20560,8916.75,31120.4,5731.16,7215.47,8806.29,17021.8,10135.59,2985.5,13373.82,15538.98,36076.71,3063.14,17933.47,15589.75,12774.4795,"HslU--HslV peptidase"
"4.1.3.38",14816.18,4164.83,9933.13,9715.2,20551.92,5945.2,5409.75,1529,24615.79,6985.16,12478.26,9191.81,7655.3,3353.52,12240.26,18910.41,52549.95,8780.83,22566.59,3518.95,12745.602,"Aminodeoxychorismate lyase"
"2.8.1.6",13484.87,4076.77,10508.85,14758.01,13989.05,7082.2,8704.75,1379,13557.73,7650.74,14255.8,8730.2,5818.66,3519.69,13625.78,17356.95,36409.18,35111.3,21166.86,3477.35,12733.187,"Biotin synthase"
"2.7.2.8",14040.15,3789.83,6732.03,9615.57,16138.54,21063.2,9725.75,30975,20911.77,7078.32,8158.34,9537.7,6473.14,3091.03,10739.7,16009.9,34816.05,2832.38,18745.15,3623.75,12704.865,"Acetylglutamate kinase"
"5.4.99.24",13874.78,3249.23,7262.03,13820.27,19508.97,4979.2,8740.75,30977,6753.37,7034.92,11496.49,5431.36,5294.98,3188.16,13414.8,15484.46,37857.6,28969.03,13111.38,3372.35,12691.0565,"23S rRNA pseudouridine(955/2504/2580) synthase"
"2.1.1.14",25223.25,6099.88,6502.4,16984.57,12728.79,9241.7,12935.75,1564,2516.25,11533.82,12995.85,8274.71,11035.95,3247.53,17419.06,20259.81,48645.34,2286.25,17836,6207.25,12676.908,"5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase"
"1.1.1.22",13969.01,5840.56,7961.59,8731.97,11381.36,20769,14330.75,1634.4,22016.27,7886.29,11385.14,21358.9,8895.69,3163.36,11293.63,18548.03,32682.48,4760.83,10609.03,15813.75,12651.602,"UDP-glucose 6-dehydrogenase"
"1.21.4.4",51.2,653.6,10952.6,17101.88,1557.15,0,0,0,25360.8,1989.4,18908.02,1336.2,64.4,952.2,16430.48,5098.2,20133,119472.6,11341.52,135.4,12576.9325,"Betaine reductase"
"3.1.21.2",13839.02,4889.17,6763.8,13635.7,17180.78,19326.8,5340,198.4,27421.75,7318.22,10785.05,17649.17,9034.16,3194.33,14896.58,9474.02,7569.52,29535.01,17271.86,15299.1,12531.122,"Deoxyribonuclease IV"
"1.1.1.27",1785.6,5119.34,1947.28,2002.4,47039.02,31155.6,508,707.8,10178.21,2547.73,3589.64,32725.06,47143.7,261.25,8694.99,2412.87,5143.33,3600.73,18692.85,24377,12481.62,"L-lactate dehydrogenase"
"4.3.2.1",13841.36,5612.44,6915.9,9666.97,20377.14,21183,9841.75,1529.4,21285.77,7813.29,9379.54,12549.19,12861.17,3057.53,11607.45,14554.05,35311.76,2535.05,20808.19,8227.75,12447.935,"Argininosuccinate lyase"
"5.3.1.8",13873.78,5683.96,6639.25,10465.87,21366.22,20075.5,5510.75,31318.4,22781.72,7365.89,7728.06,20288.75,16550.28,3238.92,12454.32,7482.8,5509.13,3675.25,8330.44,15521.35,12293.032,"Mannose-6-phosphate isomerase"
"2.1.1.163",12952.17,4134.04,7517.27,8705.07,7030.79,21168.2,9725.75,31090,22024.91,6745.5,8575.84,8509.29,8410.47,3127.17,10835.02,15567.65,34436.84,4620.3,15674.63,3646.75,12224.883,"Demethylmenaquinone methyltransferase"
"2.1.1.201",12952.17,4134.04,7517.27,8705.07,7030.79,21168.2,9725.75,31090,22024.91,6745.5,8575.84,8509.29,8410.47,3127.17,10835.02,15567.65,34436.84,4620.3,15674.63,3646.75,12224.883,"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase"
"4.2.1.46",14973.31,5921.96,5998.19,10408.77,22436.64,21230,9852.75,1409.4,21455.13,7767.88,7154.19,19412.32,16216.52,3042.19,12894.72,9978.72,22541.64,1922.25,14015.1,15586.35,12210.9015,"dTDP-glucose 4,6-dehydratase"
"3.5.1.4",12695.26,6782.06,4883.89,8804.7,7194.92,19206.1,4843,946.8,8849.32,7897.27,9638.33,27083.67,13381.77,3180.63,18520.52,14642.77,27437.23,3717.95,17016.77,27363.5,12204.323,"Amidase"
"2.7.1.39",13819.16,3360.38,6632.88,13655.3,19979.12,20965.2,4404.75,1266,7976.97,6622.32,9295.58,15118.53,10491.45,3096.53,15437.29,9524.21,24980.91,27855.19,18141.35,10628.75,12162.5935,"Homoserine kinase"
"1.1.1.267",14025.02,3716.44,7816.25,9687.77,16985.61,6168.2,9722.75,30741,22633.37,7205.92,9153.31,8742.61,5410.92,3104.33,10671.68,16112.85,33805.56,5112.34,18466.59,3647.35,12146.4935,"1-deoxy-D-xylulose-5-phosphate reductoisomerase"
"6.3.4.5",13841.36,5612.44,3205.91,9642.97,20960.81,20697,9818.75,1529.4,21224.77,7813.29,9312.54,12561.55,12900.81,3049.53,11241.16,14094.98,33779.69,2327.3,20744.39,8227.75,12129.32,"Argininosuccinate synthase"
"5.3.1.16",13978.53,3868.71,10445.1,9608.97,14374.29,22013.4,9709.5,2683,21368.47,7110.32,8225.84,9482.21,5375.64,3074.53,11244.72,16407.48,47466.36,3137.3,18979.52,3836,12119.4945,"isomerase"
"5.4.2.11",13112.13,6504.27,5848.91,9498.7,21525.79,34226.8,5402,651.4,21135.8,6818.22,6792.2,21766.93,25130.95,3034.67,15182.93,7196.96,10535.57,2409.15,10204.4,15191.1,12108.444,"Phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)"
"1.4.4.2",12774.15,3391.39,8996.84,16962.34,4446.06,7401.2,5184,1347,28992.31,6824.7,13597.92,9467.1,2493.06,3330.27,19325.9,8786.4,10883.41,58487.64,16177.56,3107.7,12098.8475,"Glycine dehydrogenase (aminomethyl-transferring)"
"1.17.1.11",285.4,66,3220,20838,6313.5,0,0,79,20011,2203,16257.25,549,549,640,14441.5,5359.66,14195,130420,5841.13,6,12063.722,"Formate dehydrogenase (NAD(+), ferredoxin)"
"3.1.1.5",27425.98,5650.88,10608.48,18785.3,5093.48,8959,12793.75,612,5528.94,11777.64,11757.12,8219.5,3719.83,5888.56,17859.45,20169.49,36583.96,3018.56,20522.85,6261.25,12061.801,"Lysophospholipase"
"2.1.1.172",12804.66,5090.78,6426.78,8620.5,12421.39,20376.3,8985.5,269.4,4282.8,6871.47,8826.82,19719.75,14398.9,3129.88,13055.52,14058.15,43874.92,2119.01,20094.87,15714,12057.07,"16S rRNA (guanine(1207)-N(2))-methyltransferase"
"1.17.5.3",37387.79,7804.5,14664.72,25085.5,5724.16,10404,12488,149,2631.02,15837.5,15538.08,4916.15,278.92,11160,21742.05,18936.83,13264,898.33,13553.25,8662.5,12056.315,"Formate dehydrogenase-N"
"6.3.3.3",25256.58,6337.66,11838.83,17871.9,5947.15,10513.2,12830.75,1316,6179.47,11894,13676.72,7066.14,2587.21,5978.67,17250.55,21859.4,32999.27,4806.18,18160.53,6318.25,12034.423,"Dethiobiotin synthase"
"1.1.1.86",14023.36,5506.11,6676.9,9591.47,16270.81,21156,9815.75,1554.4,22465.27,7852.12,9228.54,11727.55,8190.17,3066.53,11649.09,15990.88,34845.78,2848.16,19676.96,8315.75,12022.58,"Ketol-acid reductoisomerase (NADP(+))"
"2.7.6.2",1442.23,2500.01,2766.88,5473.2,24214.32,16904.8,1230,30000.4,27716.69,2125.72,6086.69,18406.66,17353.69,346.66,9797.15,3437.85,11946.74,30622.9,15362.99,12463.6,12009.959,"Thiamine diphosphokinase"
"2.6.1.52",13579.53,3892.38,6753.2,8692.9,16938.44,20322.2,9701.75,1609,20838.77,7000.32,8136.86,8613.49,6868.74,3025.53,11180.73,15840.81,47355.66,2756.92,23220.92,3574.75,11995.145,"Phosphoserine transaminase"
"3.2.1.4",13657.21,3650.3,3190.62,17059.9,7193.26,3272.2,6189,1084,43429.02,7174.54,12025.67,5607.63,5019.69,3163.96,15056.34,8274.83,19585.57,52866.04,8698.59,3222.7,11971.0535,"Cellulase"
"5.1.1.13",12720.17,4558.78,2603.43,12779.17,19248.98,19285,4530.75,271.4,7660.52,6898.29,9902.64,14948.34,13787.77,3056.57,15591.86,7519.53,24505.72,27755.62,16358.03,15284.75,11963.366,"Aspartate racemase"
"1.8.1.7",12719.79,5271.9,5906.43,8488.9,13822.39,34012,8859.75,1240.4,4007.16,6710.47,8597.56,19656.98,20092.5,2928,12234.4,13822,30190.49,1834.14,12875.62,15452.75,11936.1815,"Glutathione-disulfide reductase"
"1.1.1.85",14023.36,5506.11,6687.36,9606.07,16435.81,20139,9815.75,1717.4,22472.57,7852.12,9174.29,10973.91,8044.21,3101.2,11584.57,16004.48,34971.6,2829.39,19375.53,8315.75,11931.524,"3-isopropylmalate dehydrogenase"
"3.2.2.1",25305.65,6393.09,5057.28,17810.5,25005.44,9052.4,8278,2010,4969.66,10903.17,13763.81,7984.73,19036.74,8422.25,15657.66,16950.42,15334.5,3698.08,16913.91,5832,11918.9645,"Purine nucleosidase"
"1.2.1.10",14215,5426.96,7817.22,11264.04,18316.71,18718.8,4577,206.4,7065.55,7080.22,10053.1,25470.27,17757.03,3243.83,16571.23,9342.93,18777.14,5182.91,13788.2,22470.1,11867.232,"Acetaldehyde dehydrogenase (acetylating)"
"5.1.3.13",14659.53,5374.63,6832.35,11269.54,21717.05,19787,5565.75,1512.4,23864.63,7196.53,8259.95,13990.84,12883.8,3194.55,10643.97,7367.6,33473.98,4075.01,17089.06,8080.35,11841.926,"dTDP-4-dehydrorhamnose 3,5-epimerase"
"1.10.3.10",25201.58,6101,11663.64,16975.8,3772.58,9924.4,17394.5,2486,2032.72,11649,14664.72,8247.56,2565.28,5926,16676.06,27501,34456.4,2802,9999,6639.5,11833.937,"Transferred entry 7.1.1.3"
"2.7.4.6",13985,3971.04,6603.91,9614.47,8002.29,7270.2,9725.75,31159,21152.47,6744.49,8121.59,9798.37,10061.1,3092.53,12836.94,15733.15,34726.78,2930.44,17107.17,3623.75,11813.022,"Nucleoside-diphosphate kinase"
"1.16.3.1",12856.79,4456.83,7384.97,8719.07,3205.69,5719.2,13266.5,31258,2702.61,6909.5,10029.69,7049.82,3521.4,3180.67,10970.86,21428.56,62813.49,3319.93,13533.4,3801,11806.399,"Ferroxidase"
"1.1.1.40",25031.29,5377.33,10188.16,16924.3,4093.08,8522,9550.5,30207,18538.63,11430,10568.72,5893.35,725.18,5803,17300.1,12985.99,23940.57,1482.49,10439.25,6513.5,11775.722,"Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+))"
"2.7.8.33",14519.75,5415.24,6150.51,14680.2,13403.39,20025,4434,1471.4,9968.88,7136.31,10198.31,16045.35,11772.27,3198.49,15504.6,10093.25,13795.08,28213.34,14236.15,15109.7,11768.561,"N-acetylglucosaminephosphotransferase"
"2.7.8.35",14519.75,5415.24,6150.51,14680.2,13403.39,20025,4434,1471.4,9968.88,7136.31,10198.31,16045.35,11772.27,3198.49,15504.6,10093.25,13795.08,28213.34,14236.15,15109.7,11768.561,"N-acetylglucosaminephosphotransferase"
"1.21.4.3",39.2,525.6,8117.6,16955.88,1546.15,0,0,0,22926.8,1794.4,17412.52,1124.56,63.6,875.2,14426.48,4805.2,16324,115585.6,11103.62,106.4,11686.6405,"Sarcosine reductase"
"4.1.1.65",13930,3351.44,7005.45,9682.27,7521.97,7862.2,9733.5,31003,21358.47,6705.92,8261.99,9947.75,7306.57,3123.33,11051.39,15771.45,35551.15,3147.7,17153.4,3885.6,11667.7275,"Phosphatidylserine decarboxylase"
"5.1.1.7",13699.01,3477.23,6790.42,9472.77,26627.36,20279.2,5275.75,30931,20883.17,6478.09,6978.74,7532.35,12381.74,3082.83,9725.36,7101.09,19997.43,3838.38,15282.07,3388.35,11661.117,"Diaminopimelate epimerase"
"3.1.1.31",13392.28,4954.9,5731.46,9519.17,16736.79,19218,6380.75,1478.4,37695.24,6668.62,6865.62,19091.19,14662.06,2940.03,12831.44,6718.24,17792.87,1446.28,12549.75,15615.75,11614.442,"6-phosphogluconolactonase"
"3.6.1.31",14959.53,3725.38,10468.89,10507.37,18738.37,21456.4,5304.75,2580,21501.83,7355.14,6418.34,10316.22,6720.34,3082.56,11712.36,9700.38,39637.17,2706.27,21229.53,3403.75,11576.229,"Phosphoribosyl-ATP diphosphatase"
"3.5.2.6",14757.62,4798.89,2997.69,14548.8,17224.06,21658.4,4470.75,3219.4,8311.54,6632.76,9949.46,17441.73,15376.76,3126.08,15436.93,7827.87,11048.74,26780.49,9263.3,15281.75,11507.651,"Beta-lactamase"
"2.3.3.13",15163.01,5530.1,6467.52,9589.87,17645.15,19899,5543.75,1857.4,22593.07,7398.94,7422.22,11237.67,7324.95,3183.56,12640.57,8951.81,35809,2276.72,21462.53,8144.75,11507.0795,"2-isopropylmalate synthase"
"1.1.1.23",14011.53,3758.71,10400.88,9592.97,16391.54,21392.2,9750.75,1488,20846.97,7051.32,8162.6,9932,6552.68,3298.53,10714.12,16456.98,34810.36,2905.3,17998.32,3574.75,11454.5255,"Histidinol dehydrogenase"
"4.1.99.17",13719.58,3632.56,7870.76,12850.27,15804.54,6268.2,8704.75,1094,9038.17,6845.92,11849.74,6536.82,4558.07,3263.83,12904.89,16698.7,34821.49,30301.47,18553.61,3431.35,11437.436,"Phosphomethylpyrimidine synthase"
"2.6.1.57",25108.44,5906,7725.76,16834.4,14368.15,7553,12992.5,504,3811.22,11608.17,13381.72,6532.1,7073.07,5917,15932.99,19754.66,31056.47,3956.46,12081.9,6491.5,11429.4755,"Aromatic-amino-acid transaminase"
"4.2.1.19",14011.53,3758.71,10362.6,9592.97,16391.54,21389,9686.75,1485,20841.97,7051.32,8144.34,9588.46,6477.14,3074.53,10712.52,16456.98,34792.36,2905.3,17893.52,3574.75,11409.5645,"Imidazoleglycerol-phosphate dehydratase"
"4.99.1.4",15765.16,3654.69,8935.17,11552.94,23663.69,6410.7,4372.5,1095,8211.27,6321.76,9381.76,7770.85,8598.85,3420.15,11388.91,7774.66,47544.47,7748.32,30372.92,3457.8,11372.0785,"Sirohydrochlorin ferrochelatase"
"2.4.1.1",15647.78,3545.49,3599.18,14548.47,29961.19,18203.5,5294,566,24448.2,6848.29,10103.13,8209.42,10993.51,3307.79,13762.17,7872.74,5765.3,29325.54,11646.28,3080.5,11336.424,"Glycogen phosphorylase"
"1.3.1.10",12738.17,3704.71,6417.58,8667.07,6309.79,19605.2,5347.75,31205,20444.61,6176.67,7811.09,6070.61,8003.3,3037.17,10856.07,12873.65,34366.32,2597.7,16714,3486.75,11321.6605,"Enoyl-[acyl-carrier-protein] reductase (NADPH, Si-specific)"
"2.10.1.1",13652.17,3655.71,9141.75,12774.48,4972.4,5804.2,8769.75,1306,9371.97,7120.32,12609.58,5777.37,2977.74,3340.2,12757.22,15432.85,48203.18,32192.58,13081.69,3365.75,11315.3455,"Molybdopterin molybdotransferase"
"4.1.99.22",13657.06,3670.71,9269.21,13746.07,9138.54,5802.2,8727.75,1157,9569.47,6908.32,13066.34,7069.5,4024.96,3321.53,13402.97,15658.35,36802.71,32923.78,13638.96,3368.75,11246.209,"GTP 3',8-cyclase"
"1.11.1.6",12876.32,3707.13,6902.03,8658.07,2750.46,8854.4,9770.5,2516,22283.91,6460.5,8224.39,12201.85,3591.76,3120.17,11972.08,17146.62,52509.34,3477.44,23821.3,3924,11238.4135,"Catalase"
"2.4.2.17",14011.53,3758.71,6744.6,9592.97,16349.87,21050.2,9686.75,1488,20846.97,7051.32,8144.34,10615.08,6486.14,3066.53,10714.12,16019.98,34804.36,2823.3,17900.4,3574.75,11236.496,"ATP phosphoribosyltransferase"
"1.8.1.2",25093.87,5552.99,13994.18,16838.8,3893.59,10832.2,8497.75,1749,2334.46,11142,10778.92,8418.42,2168.48,5848.34,17087.62,13449.16,36116.07,1695.66,23175,6036.25,11235.138,"Assimilatory sulfite reductase (NADPH)"
"1.3.1.12",13789.16,5058.84,5993.59,9520.27,16658.14,20724,5451.75,1535.4,22363.47,7310.89,7038.09,17691.12,8942.21,3011.33,13714.74,8705.28,21473.29,2240.7,17928.65,15537.35,11234.4135,"Prephenate dehydrogenase"
"2.7.1.50",13649.82,4845.17,3671.14,13657.37,19825.21,5041.3,4394,557.4,10913.17,6826.89,11003.34,17845.07,11342.7,3177.66,15673.35,9146.12,10298.26,30350.26,16203.01,15135.1,11177.817,"Hydroxyethylthiazole kinase"
"4.1.1.48",13094.5,3903.44,6621.6,8718.37,9151.79,21592.2,14061.75,1488,20410.97,7029.92,8011.39,10133.98,6342.31,3039.33,10749.6,18299.45,35753.66,3027.7,17152,3712.35,11114.7155,"Indole-3-glycerol-phosphate synthase"
"2.7.8.8",13930,3351.44,6578.64,9729.27,5607.79,7087.2,9722.75,31003,21150.17,6705.92,8215.99,8899.99,3514.93,3153.33,10839.68,15620.02,34395.22,3048.34,15710.4,3624.35,11094.4215,"CDP-diacylglycerol--serine O-phosphatidyltransferase"
"3.1.3.27",13464.37,3296.5,6060.85,8582.07,2517.12,4863,9009,59368,2207.75,6352.32,7889.41,5172.14,2099.47,3262.78,9893.79,13951.23,46448.33,2326.85,11953.17,3156.5,11093.7325,"Phosphatidylglycerophosphatase"
"2.7.7.4",25399.98,6194.33,3506.11,17029.27,7095.48,9170.4,8515.5,3075,2805.54,11528.64,10977.45,7063.4,2624.18,5877.4,18798.84,12267.06,40996.21,1840.74,19979,6297.5,11052.1015,"Sulfate adenylyltransferase"
"3.6.3.32",12537.26,4644.66,6243.03,12704.07,3980.29,19455.8,4458.75,510.4,8416.02,6522.47,9641.89,17022.98,8011.8,3052,15841.25,12472.23,19852.37,27721.54,12105.8,15369.75,11028.218,"Transferred entry 7.6.2.9"
"3.2.1.26",14416.5,6653.63,4780.95,8371.5,32144.46,32292.8,4587,358.8,4423.82,6896.09,7392.3,19427.95,19700.5,2771.65,11642.13,6638.35,2323.14,570.78,15232.26,19761.5,11019.3055,"Beta-fructofuranosidase"
"3.1.3.104",12773.75,3130.38,4984.81,8513.9,25132.69,19925,6360,413,36942.14,6143.67,5626.48,12445.31,22003.42,3141.92,9388.75,7932.82,14847.15,1222.98,16017.5,3309.5,11012.7585,"5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase"
"1.1.1.28",14372.32,4840.56,5690.72,8400.5,32374.79,19447.8,9670,499.4,19766.45,6703.46,6358.45,15441.91,22590.84,2859,11075.94,9173.85,2116.44,604,12147.36,15324.5,10972.9145,"D-lactate dehydrogenase"
"4.2.1.24",13900.82,3819.44,7854.48,9629.77,11427.71,7097.2,8740.75,30866,5907.17,6678.92,9101.64,8036.76,6223.63,3204.33,10562.89,15968.45,35007.49,5167.7,16667.01,3480.35,10967.1255,"Porphobilinogen synthase"
"1.8.5.3",37324.5,7804.5,13686,25069.5,5538.87,10384,12476,0,1574.16,15760.5,15321.51,4643.31,258.49,8564.84,21193.72,18934.5,610,842,10312.83,8662.5,10948.0865,"Respiratory dimethylsulfoxide reductase"
"2.1.1.80",13903.19,3168.11,7240.64,13600.57,7346.86,6442.2,4195,1508,9762.98,6425.74,9899.24,12646.1,3180.65,3211.02,15102.26,9514.52,33896.45,30153.84,17218.38,10391.1,10940.3425,"Protein-glutamate O-methyltransferase"
"1.2.1.38",13893.15,3752.83,2951.2,9589.57,15925.54,20690.2,9712.75,1488,20878.77,7051.32,8109.34,9696.7,5968.14,3057.03,10664.7,15511.9,34737.38,2735.38,18697.15,3574.75,10934.29,"N-acetyl-gamma-glutamyl-phosphate reductase"
"2.3.1.29",12621.97,4975.51,3860.49,12723.97,4880.94,7969.8,6322,393.4,43482.26,7004.9,10206.09,14383.01,6017.01,3097.3,15063.4,8583.76,6888.12,29112.49,12991.98,8074.1,10932.625,"Glycine C-acetyltransferase"
"2.7.7.80",25180.67,5856.88,11014.12,16993.9,5523.83,9994.2,8456.5,1220,2661.13,11192,12802.52,7869.39,2638.93,5837.84,17201.25,15051.69,31675.4,2738.55,17095.2,6331.5,10866.775,"Molybdopterin-synthase adenylyltransferase"
"6.3.4.3",1401.23,2481.34,2844.38,5454.37,27162.42,16971.8,1194,464.4,27688.94,2098.72,6139.02,18836.94,18327.69,324.66,9784.7,3440.85,12309.84,30676.31,16944.71,12414.6,10848.046,"Formate--tetrahydrofolate ligase"
"5.3.3.2",12830.46,5083.78,9662.78,12671.67,12918.39,19973.8,4390,340.4,7211.93,6425.8,9572.05,16660.9,14063,3042.21,14784.82,8101.66,7750.51,27568.81,8663.39,15023.5,10836.993,"Isopentenyl-diphosphate Delta-isomerase"
"2.4.1.18",14479.13,3745.16,3497.35,13700.57,23722.93,18083.2,5253,1290,24008.31,6396.32,9931.94,8330.65,8654.7,3197.41,14221.44,7751.4,5390.4,29294.85,11675.29,3080.5,10785.2275,"1,4-alpha-glucan branching enzyme"
"4.6.1.17",13653.06,3542.71,8072.79,13675.07,9127.54,5802.2,8704.75,1157,7784.47,6786.32,12135.84,6396.6,3959.64,3241.53,12647.39,15524.21,36222.57,30582.5,12994.23,3345.75,10767.8085,"Cyclic pyranopterin monophosphate synthase"
"3.1.1.61",13633.19,3278.11,7171.94,13600.57,7346.86,5618.2,4195,1830,9651.98,6425.74,9836.99,10836.82,2514.43,3211.02,15092.18,9496.38,33801.31,30000.56,17327.18,10391.1,10762.978,"Protein-glutamate methylesterase"
