"ko","insect_51_WholeSpecimen","insect_52_WholeSpecimen","insect_53_WholeSpecimen","insect_54_WholeSpecimen","insect_55_WholeSpecimen","insect_56_WholeSpecimen","insect_57_WholeSpecimen","insect_58_WholeSpecimen","insect_59_WholeSpecimen","insect_60_WholeSpecimen","insect_61_WholeSpecimen","insect_62_WholeSpecimen","insect_63_WholeSpecimen","insect_64_WholeSpecimen","insect_65_WholeSpecimen","insect_66_WholeSpecimen","insect_67_WholeSpecimen","insect_68_WholeSpecimen","insect_69_WholeSpecimen","insect_70_WholeSpecimen","mean_abundance","description"
"ko:K02666",12722.79,3160.5,5787.93,8477.4,3490.29,4329,8681.75,355,1539.61,6214.5,7532.36,4149.53,1570.14,2954,8374.18,13668,26929.37,1471.5,8348.25,3319.75,6653.7925,"type IV pilus assembly protein PilQ"
"ko:K04655",13226.5,2958.23,4379.03,13517.37,8188.75,3446,4149,0,4833.12,5697.74,8685.31,2846.22,1696.07,266.23,9983.65,7799.8,3923.45,26561.8,7944.33,2888.1,6649.535,"hydrogenase expression/formation protein HypE"
"ko:K08151",12718.19,4558.23,2562.91,9265.5,2115.75,4421.3,4323,80.4,3729.4,6171.12,6600.63,13259.26,6330.08,5591.65,11008.16,9333.57,7575.14,765.78,7442.87,15020.5,6643.672,"MFS transporter, DHA1 family, tetracycline resistance protein"
"ko:K12952",1064.66,3914.2,1142.57,1871.2,11552.35,28609.6,338,239.8,4961.69,1905.69,2462.03,20330.72,12615.45,139.83,7135.65,682.71,2993.66,961.84,5627.19,24266.6,6640.772,"cation-transporting P-type ATPase E [EC:7.2.2.-]"
"ko:K03745",12623.79,3160.5,5916.43,8505.07,1919.72,4329,8674.75,206,1539.61,5901.5,7563.69,3895.53,1421.14,2954,8745.18,13664,28505.37,1594.5,8349.25,3319.75,6639.439,"SlyX protein"
"ko:K01227",117.71,3999.68,508.65,72.9,16441.2,28989.6,344,503.8,4159.3,1633.94,2003.8,18349.05,23321.33,30.5,6769.64,167.58,2447.29,342.06,5669.42,16874,6637.2725,"mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase [EC:3.2.1.96]"
"ko:K16923",12515.19,3136.83,3451.58,13413.5,3375.69,3065.5,4053,0,7891.72,5894.67,10003.93,2427.25,2740.8,3033,9800.27,7170,2426.78,29920,5225.79,2933.5,6623.95,"energy-coupling factor transport system substrate-specific component"
"ko:K03732",12667.79,3160.5,5900.83,8506.17,1919.72,4329,8651.75,206,1538.36,5901.5,7563.69,3863.53,1421.14,2954,8675.43,13664,28199,1580,8349.25,3319.75,6618.5705,"ATP-dependent RNA helicase RhlB [EC:3.6.4.13]"
"ko:K02496",12623.79,3270.5,1952.6,8462.4,2668.29,4485.2,8735.75,1401,1522.61,6206.5,7526.36,3610.03,1362.64,2940,8551.11,13371.33,30465.37,1557.83,8324.25,3319.75,6617.8655,"uroporphyrin-III C-methyltransferase [EC:2.1.1.107]"
"ko:K07340",12623.79,3160.5,5847.83,8499.5,1934.29,4280,8651.75,206,1538.36,5901.5,7562.36,3866.53,1450.14,2945,8717.76,13679.33,28139,1609.33,8377.25,3319.75,6615.4985,"inner membrane protein"
"ko:K03578",12667.79,3490.83,2331.09,8524.9,1979.96,4008,8704.75,355,1543.61,6242.5,7536.36,3968.53,1472.31,2984.67,8835.01,13517.83,30848.71,1571.83,8369.25,3319.75,6613.634,"ATP-dependent helicase HrpA [EC:3.6.4.13]"
"ko:K02199",12623.79,3476.5,2039.66,8487.5,1910.29,4402.2,8631,1118,1505.66,5903.5,7551.93,3452.32,1510.57,2819.71,8770.36,13356.83,31672,1618.33,8264.5,3058.5,6608.6575,"cytochrome c biogenesis protein CcmG, thiol:disulfide interchange protein DsbE"
"ko:K13926",12583.5,3050.5,5769.46,8467.9,1910.29,4046.5,8583.75,33,1511.22,5901.5,7524.93,2743.6,1255.07,2815,8685.76,13824.33,30235.2,1606.33,8302.25,3319.75,6608.492,"ribosome-dependent ATPase"
"ko:K01821",269.38,2586.28,4359.92,112.37,11206.86,16461.3,514.75,895.4,4595.3,1399.97,1424.79,16205.8,14362.76,254.17,5714.72,2286.15,21714.44,1696.03,13327.97,12482.25,6593.5305,"4-oxalocrotonate tautomerase [EC:5.3.2.6]"
"ko:K03182",12547.79,2950.5,4998.28,8430.67,2997.22,3653,4324.75,29636,1328.61,5690.5,5629.09,2567.58,925.71,2892,8309.31,6540.33,17154.77,1116.63,6856.1,3197.75,6587.3295,"4-hydroxy-3-polyprenylbenzoate decarboxylase [EC:4.1.1.98]"
"ko:K02549",12535.26,4495.99,5166.42,8523.5,2060.56,19226.8,4281,494.4,3985.52,6235.47,6214.96,9149.17,5754.43,2952.34,9364.42,8178.4,3298.47,1158.35,10935.37,7716.5,6586.3665,"O-succinylbenzoate synthase [EC:4.2.1.113]"
"ko:K00351",12510.5,2711.5,1451,12595,2062.69,3157,4161,173,4961.97,5642.5,8352.93,1549.5,226.97,2958.29,10759.25,6839.5,15093.5,25895.5,7672,2887.5,6583.055,"Na+-transporting NADH:ubiquinone oxidoreductase subunit F [EC:7.2.1.1]"
"ko:K12942",13473.88,3290.71,5129.19,9595,5170.01,5477.5,8489,301,7479.35,6208.5,7065.58,5111.65,2489.9,8511.37,9083.92,10154.81,6244.16,5244.62,9924.61,3158.5,6580.163,"aminobenzoyl-glutamate transport protein"
"ko:K08223",12642.08,2992.38,2061.62,9408.17,4391.12,4638,4266.75,221,3858.02,5631.5,7861.69,4478.24,859.4,3018.5,9431.52,12260.32,28503.55,2321.67,9238.15,3270.75,6567.7215,"MFS transporter, FSR family, fosmidomycin resistance protein"
"ko:K04755",12505.5,3266.5,5149.56,8439.4,1886.29,5305.2,4316.75,30742,1112.27,5734.5,5396.36,3154.07,444.81,2932.67,8500.78,6343.5,15150.37,694.72,6824.25,3197.75,6554.8625,"ferredoxin, 2Fe-2S"
"ko:K08325",12749.5,2921.5,5686.8,8475.5,2020.69,5174,9518,55,19429.52,6028.5,6109.36,4340.15,1567.04,2919,8230.43,8887.5,14126,2559,6932.5,3214.5,6547.2245,"NADP-dependent alcohol dehydrogenase [EC:1.1.-.-]"
"ko:K01716",12623.79,3160.5,5671.6,8488.9,1910.29,4194,8618.75,206,1521.36,5893.5,7556.36,3496.03,1287.14,2924,8491.43,13663,28047.2,1578,8268.25,3319.75,6545.9925,"3-hydroxyacyl-[acyl-carrier protein] dehydratase / trans-2-decenoyl-[acyl-carrier protein] isomerase [EC:4.2.1.59 5.3.3.14]"
"ko:K01720",12560.5,5113.9,5139.23,8467,1898.89,3948.3,8649,262.4,2616.52,6645.3,8231.13,6039.99,2874.17,2814.67,8959.42,13745.57,17987.08,1332.64,5806.3,7799.5,6544.5755,"2-methylcitrate dehydratase [EC:4.2.1.79]"
"ko:K04568",12667.79,3160.5,5808.33,8478.5,1910.29,4964.2,8641,1118,1529.86,5901.5,7532.36,3286.53,1421.14,2954,8321.03,13663.5,26632,1453,8348.25,3058.5,6542.514,"elongation factor P--(R)-beta-lysine ligase [EC:6.3.1.-]"
"ko:K07122",12623.79,3160.5,5769.43,8477.4,1910.29,4327,8681.75,355,1539.61,6214.5,7532.36,3863.53,1320.14,2954,8374.18,13663,26919.37,1467.5,8348.25,3319.75,6541.0675,"phospholipid transport system transporter-binding protein"
"ko:K19055",12677.08,2751.5,9660.54,8407,14648.29,4135.5,4137,0,2317.5,5391.67,6246.36,8725.89,7418.6,2927,10304.41,6975.4,3361.27,2780.64,7618.12,10302.5,6539.3135,"Ala-tRNA(Pro) deacylase [EC:3.1.1.-]"
"ko:K04757",107.24,1206.88,3238.81,8631,583.97,1137,0,102,12054.36,1019.82,7879.65,2585.85,966.65,423.86,9081.29,3965.32,12323.95,56307.76,8977.61,117,6535.501,"serine/threonine-protein kinase RsbW [EC:2.7.11.1]"
"ko:K03583",12623.79,3160.5,5796.76,8479.4,1910.29,4331,8651.75,355,1539.61,5901.5,7532.36,3895.53,1421.14,2988.67,8376.18,13667,26919.37,1467.5,8348.25,3319.75,6534.2675,"exodeoxyribonuclease V gamma subunit [EC:3.1.11.5]"
"ko:K12297",12667.79,3160.5,5769.83,8475.5,2236.29,4329,8651.75,206,1538.36,5901.5,7532.36,4037.03,1421.14,2954,8312.43,13707,26613,1453,8359.25,3319.75,6532.274,"23S rRNA (guanine2445-N2)-methyltransferase / 23S rRNA (guanine2069-N7)-methyltransferase [EC:2.1.1.173 2.1.1.264]"
"ko:K01595",12564.62,2798.5,5195.54,8391.4,7433.79,4383.2,5232,2144,17770.11,5793.5,5469.86,3719.53,4013.65,2919.67,8352.78,6589.33,16942.37,708.83,7091.25,3054.5,6528.4215,"phosphoenolpyruvate carboxylase [EC:4.1.1.31]"
"ko:K03656",12623.79,3160.5,2149.29,8477.4,1910.29,3985,8704.75,355,1539.61,6214.5,7530.93,3722.96,1413.57,2846,8748.51,13372.33,30553.37,1557.83,8348.25,3319.75,6526.6815,"ATP-dependent DNA helicase Rep [EC:3.6.4.12]"
"ko:K07104",92.38,3654.68,516.02,77,183.2,30269.6,421,313.8,5580.93,1789.1,2029.53,24512.37,8969.07,35.5,8001.48,1681.56,7826.28,1339.01,8831.66,24354,6523.9085,"catechol 2,3-dioxygenase [EC:1.13.11.2]"
"ko:K03286",12527.79,2711.5,5822.6,8511.14,2397.72,5807,4355.75,640,1888.21,6066.5,5636.45,5441.4,864.71,3011,10103.84,6635.66,33465.57,1165.16,10262.25,3148.75,6523.15,"OmpA-OmpF porin, OOP family"
"ko:K21071",2390.65,866.72,1426.07,1293.7,37482.56,595,5429,233,18678.25,1304.74,3299.05,5741.39,10301.31,181.19,2264.21,8455.97,15307.77,2013,12695.02,338.6,6514.86,"ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]"
"ko:K16137",12648.66,2601.5,12439.08,8393.5,1859.29,5996.5,4321,635,1603.44,5402.49,5574.79,4021.66,2297.21,2992.36,8830.93,7383.83,29276.67,1014.33,10113.5,2887.5,6514.662,"TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon"
"ko:K05873",13572.13,3258.23,5651.46,13649.37,2049.72,3429.5,4050,0,5684.48,5752.92,8889.13,1394.93,348.17,2922.45,11259.69,7685.8,5585.23,27432.2,4751.5,2891.1,6512.9005,"adenylate cyclase, class 2 [EC:4.6.1.1]"
"ko:K07080",237.76,884.76,1285.61,4349.5,3509.19,938,4528,740,6707,1074,5744,1954.16,1682.5,234,5756.63,10296.83,39797.04,28547.37,11656.1,259,6509.0725,"uncharacterized protein"
"ko:K09809",628.43,5331.53,864.48,938,1864.37,3153.4,627,391.2,6383.76,2519.22,3282.5,35067.79,12844.58,42.36,10471.6,3674.23,6321.88,885.42,5823.03,29007,6506.089,"CDP-glycerol glycerophosphotransferase [EC:2.7.8.12]"
"ko:K07153",12623.79,3160.5,5757.83,8475.5,1910.29,4327,8651.75,206,1538.36,5901.5,7532.36,3965.53,1331.14,2954,8312.43,13663,26613,1453,8348.25,3319.75,6502.249,"high frequency lysogenization protein"
"ko:K03528",12623.79,3160.5,5757.83,8475.5,1910.29,4329,8651.75,206,1538.36,5901.5,7532.36,3863.53,1421.14,2954,8312.43,13663,26613,1453,8348.25,3319.75,6501.749,"cell division protein ZipA"
"ko:K03683",12623.79,3160.5,5757.83,8475.5,1910.29,4329,8651.75,206,1538.36,5901.5,7532.36,3863.53,1421.14,2954,8312.43,13663,26613,1453,8348.25,3319.75,6501.749,"ribonuclease T [EC:3.1.13.-]"
"ko:K09024",12689.79,3324.5,2450.83,8568.5,1961.29,4815.7,8837.75,1088,1345.36,5954.5,9311.36,3982.28,1413.64,3088,8445.36,14971.33,26223,2135.33,6001.5,3353.75,6498.0885,"flavin reductase [EC:1.5.1.-]"
"ko:K07646",13227.98,3115.23,6370.02,9373.2,19532.36,4630.2,4241,1032,2730.42,6197.09,6505.87,5985.05,5314.27,3052.83,10342.09,7074.7,6329.08,3061.37,8933.42,2911.1,6497.964,"two-component system, OmpR family, sensor histidine kinase KdpD [EC:2.7.13.3]"
"ko:K19745",12623.79,3050.5,5696.83,8484.5,1910.29,4194,8648.75,182,1521.36,6206.5,7545.36,2858.78,1271.81,2924,8339.76,13669.83,27696,1558.33,8218.5,3319.75,6496.032,"acrylyl-CoA reductase (NADPH) [EC:1.3.1.-]"
"ko:K09895",12623.79,3160.5,5757.83,8475.5,1910.29,4201,8651.75,206,1538.36,5901.5,7532.36,3863.53,1421.14,2954,8312.43,13663,26613,1453,8348.25,3319.75,6495.349,"uncharacterized protein"
"ko:K15396",12623.79,3050.5,5792.83,8479.17,1919.72,4329,8651.75,33,1538.36,5901.5,7533.69,3856.53,1400.64,2954,8328.43,13664,26686,1455,8303.25,3319.75,6491.0455,"tRNA (cytidine32/uridine32-2'-O)-methyltransferase [EC:2.1.1.200]"
"ko:K04720",1530.92,331.94,6593.01,5249.2,19630.04,2189,1056.75,26,24900.06,814.42,5696.55,4761.58,6758.12,431.04,3707.16,2281.72,4043.38,30580.23,8592.33,474.85,6482.415,"threonine-phosphate decarboxylase [EC:4.1.1.81]"
"ko:K22478",12623.79,3050.5,5757.83,8475.5,1910.29,4329,8651.75,33,1538.36,5901.5,7532.36,3856.53,1400.64,2954,8306.43,13663,26571,1434,8302.25,3319.75,6480.574,"bifunctional N-acetylglutamate synthase/kinase [EC:2.3.1.1 2.7.2.8]"
"ko:K01497",12547.17,2636.38,4996.82,8411,1893.29,4146,4240.75,29636,1182.61,5365.5,5391.36,2808.55,736,2912.5,8323.8,6509.65,17048.12,703.7,6856.5,3197.75,6477.1725,"GTP cyclohydrolase II [EC:3.5.4.25]"
"ko:K00097",12515.79,2632.83,5342.45,8498.8,4639.44,5398.2,5252,1346,17992.47,5817.32,5481.36,4190.08,833.04,2882.36,9246.43,6505.33,18545.54,1021.43,8191.73,3054.5,6469.355,"4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]"
"ko:K19337",12623.79,3050.5,5566.6,8462.4,1910.29,4145,8666,331,1506.11,5875.5,7523.36,4168.78,1277.64,2915,8160.18,13662.5,26789.37,1448.5,8218.5,3058.5,6467.976,"RpiR family transcriptional regulator, carbohydrate utilization regulator"
"ko:K05916",14087.88,2778.71,5232.44,9325.9,5719.43,6245.2,4194.75,1200,3436.16,5595.5,5787.26,6048.07,2960.93,2959.17,9151.65,8151.04,18563.6,1537.42,12984.75,3236.75,6459.8305,"nitric oxide dioxygenase [EC:1.14.12.17]"
"ko:K00705",2757.79,639.99,2499.37,6181.9,26198.14,292.5,1104,165,23836.06,1588.46,4903.61,4996.73,6674.34,430.79,4571.6,1999.83,4801.21,29212.4,5967.51,193,6450.7115,"4-alpha-glucanotransferase [EC:2.4.1.25]"
"ko:K00681",12586.75,2742.38,5653.38,8493.57,2200.72,7960.6,4468.75,5104,1375.69,5956.5,5657.02,4831.75,811.88,3013.5,10026.47,6938.74,29072.93,1630.72,7203.18,3148.75,6443.864,"gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]"
"ko:K13818",14487.79,2734.16,6041.42,12496.5,3339.04,3611,4159.75,39,5998.08,5660.14,8998.11,2180.42,756.64,3049.72,9673.93,7387,2259.56,28041,4790.93,3171.75,6443.797,"molybdopterin-guanine dinucleotide biosynthesis protein [EC:2.7.7.77]"
"ko:K06076",12548.79,2618.5,5543.6,8509.67,3741.12,5007,5196,26,17984.91,5818.5,5458.12,5726.75,779.61,3071,9592.01,6468.83,19800.17,1002.83,6919,3054.5,6443.3455,"long-chain fatty acid transport protein"
"ko:K02502",2688.48,898.76,1424.01,2018.2,21007.5,16942.2,108.75,1547,5417.87,1671.64,1304.9,8697.28,8406.13,216.39,3585.2,4327.63,23240.01,2551.77,22369.75,437.25,6443.036,"ATP phosphoribosyltransferase regulatory subunit"
"ko:K01141",12623.79,3050.5,5563.6,8461.9,1910.29,4194,8648.75,33,1521.36,6206.5,7526.36,3489.03,1266.64,2924,8144.43,13663,26534.2,1453,8222.25,3319.75,6437.8175,"exodeoxyribonuclease I [EC:3.1.11.1]"
"ko:K04518",1399.57,2333.61,949.48,1110.4,15191.75,17394,1191,1199.4,21189.66,1653.79,1658.6,15716.5,8910.36,112.53,5337.63,2253.15,6237.41,1433.61,11088.85,12388,6437.465,"prephenate dehydratase [EC:4.2.1.51]"
"ko:K06219",12623.79,3160.5,5538,8460.5,1910.29,4196,8618.75,206,1521.36,5893.5,7526.36,3491.03,1388.14,2915,8088.43,13663,26483,1434,8268.25,3319.75,6435.2825,"S-adenosylmethionine-dependent methyltransferase"
"ko:K03651",12600.08,3549.5,5197.49,8458.67,2012.72,31810,4370.75,149,1101.5,5422.5,5342.69,2672.39,280.64,2962.67,8415.59,6588.66,17011.34,701.66,6901.25,3148.75,6434.8925,"3',5'-cyclic-AMP phosphodiesterase [EC:3.1.4.53]"
"ko:K11209",12504.79,4348.9,5309.23,8418.9,1952.89,3795.6,4528,4168.4,2701.66,6747.3,6309.42,6966.27,1866.18,3008.71,10103.12,6621.16,22391.87,1015.66,8016.3,7628.5,6420.143,"GSH-dependent disulfide-bond oxidoreductase [EC:1.8.4.-]"
"ko:K03721",12483.79,2601.5,13043.4,12573.9,1827.29,4299,4149,0,4370.06,5563.5,8114.86,2808.83,93.64,3007,9637.69,8232,2189.3,25844.4,4244.45,2887.5,6398.5555,"transcriptional regulator of aroF, aroG, tyrA and aromatic amino acid transport"
"ko:K03270",12526.79,2618.5,5124.73,8471.4,7459.69,4763,5239.75,175,17942.41,5810.5,5388.36,4552.68,1646.04,2881,8843.01,6490.33,16940.37,756.83,6838,3315.75,6389.207,"3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase) [EC:3.1.3.45]"
"ko:K13652",12483.99,2635.5,10055.08,8374.5,2533.62,4082,6223,191,34792.16,5562.32,5116.79,3451.74,271.37,8287.94,9222.27,6791.07,456.07,483.64,3425.75,3221.5,6383.0655,"AraC family transcriptional regulator"
"ko:K03646",12593.79,2985.5,5927.26,8486.57,2208.55,3749,4393.75,504,1540.36,5797.67,7598.12,3191.97,1260.11,2948,9107.66,11349.33,30607.8,1859.13,8332.15,3182.75,6381.1735,"colicin import membrane protein"
"ko:K08224",12604.17,3034.38,5106.66,8537.9,2087.29,6398,9549.75,440,19242.77,6061.32,5292.76,6354.46,2469.11,2917.86,8773.68,10363.75,3917.92,1027.62,9769.75,3540.75,6374.495,"MFS transporter, YNFM family, putative membrane transport protein"
"ko:K02339",12593.79,2985.5,5924.43,8483.4,1910.29,4420.2,4329.75,1451,1514.61,5781.5,7545.36,2728.53,371.14,2954,9066.11,11310.33,30816.37,1736.83,8210.25,3182.75,6365.807,"DNA polymerase III subunit chi [EC:2.7.7.7]"
"ko:K02348",552.78,2149.13,1685.65,1122.3,6117.17,17066.8,5595.75,292.4,21002.55,1714.39,2416.26,15464.53,11256.96,316.54,4731.17,5893.63,6817.58,2928.37,7175.23,12721.85,6351.052,"ElaA protein"
"ko:K18346",1151.59,409.06,4561.7,9448.2,4999.7,78,0,0,13247.76,1064.42,9277.55,1479.06,891.06,585.16,6471.59,2887.69,7274.88,58659.64,4245.61,72.6,6340.2635,"vancomycin resistance protein VanW"
"ko:K01095",308.29,625,1328.06,170.57,513.83,922.5,4716,59329,1126.39,1015,2519.19,3096.76,1645.69,282.71,1877.6,7590.4,32085.33,1681.52,5047.92,269,6307.538,"phosphatidylglycerophosphatase A [EC:3.1.3.27]"
"ko:K20543",12664.08,3064.83,1958,8484.5,1979.96,4021.2,8672,1055,1515,5875.5,7542.36,3071.64,1277.64,2931,8322.03,13211.5,27676,1502.11,8218.5,3058.5,6305.0675,"cellulose synthase operon protein C"
"ko:K07666",12634.08,2875.5,6283.79,8527.7,1910.29,4036.5,4392.75,629,1532.5,6092.5,7573.36,4215.64,421.64,2975,9369.09,11153.66,28264.27,1629.66,8320.5,3182.75,6301.009,"two-component system, OmpR family, response regulator QseB"
"ko:K01048",14891.19,2764.38,5322.05,10331.4,3258.19,4714,4161,251,4259.58,5711.14,6139.76,4399.22,2407.69,3003.56,9356.02,8326.49,18048.76,2238.56,13446.35,2975.5,6300.292,"lysophospholipase [EC:3.1.1.5]"
"ko:K05365",12634.79,3160.5,2086.83,8475.5,1910.29,3985,8651.75,232,1538.36,5901.5,7532.36,3940.53,1531.14,2946,8312.43,13214,26613,1371,8464.25,3319.75,6291.049,"penicillin-binding protein 1B [EC:2.4.1.129 3.4.16.4]"
"ko:K03322",161.29,2344.4,5602.93,165,6843.93,17081.5,1326,1698.4,22487.66,1200.61,2058.86,16952.71,14328.06,273.1,5414.19,2286.07,4363.03,3174.78,5631.3,12411,6290.241,"manganese transport protein"
"ko:K04565",12490.03,2731.38,2919.62,12592.87,2121.61,4441.2,4141,1022,6081.56,5654.5,8994.69,3434.73,572.29,3120.17,10113.55,6942.15,2621.8,27865.89,5010.98,2910.5,6289.126,"superoxide dismutase, Cu-Zn family [EC:1.15.1.1]"
"ko:K06885",142.58,2301.28,1462.48,129,9640.1,16901.8,1194,301.4,22407.93,1271.3,1910.64,16653.81,14457.35,112.5,4980.04,1709.36,4484.65,2990.09,10292.87,12411,6287.709,"uncharacterized protein"
"ko:K07273",1723.83,2444.73,1874.41,1970.4,20933.6,1339.8,1183,29749.4,21446.52,1380.44,2390.53,6992.76,15224.5,245.72,4705.3,482.64,1979.57,2634.08,1916.03,4980,6279.863,"lysozyme"
"ko:K07394",12583.5,3050.5,2074.49,8475.5,1805.29,4849.5,8542,43,1512.52,5883.5,7527.5,4078.83,1520.5,2809.29,8327,13210.5,26571,1352,8297.5,3058.5,6278.621,"SM-20-related protein"
"ko:K01079",12552.79,2798.5,5304.09,8545.9,2170.19,4399.2,5239.75,1329,17958.61,5828.5,5451.36,3829.24,1392.38,2914.38,9240.11,6669.83,18694.71,876.83,7006.75,3315.75,6275.8935,"phosphoserine phosphatase [EC:3.1.3.3]"
"ko:K00008",12708.5,2707.5,4853.48,9269,11161.97,31237.5,4242,312,1247.22,5363.5,5697.2,3718.93,3454.9,2831.29,7186.12,6635.33,369.4,672.6,8917.1,2887.5,6273.652,"L-iditol 2-dehydrogenase [EC:1.1.1.14]"
"ko:K03753",13487.17,2634.71,1364.8,12521.9,3127.04,4093,4202,212,4251.22,5860.32,8183.76,3018.14,1340.51,2964.86,10312.72,7021.38,7294.93,26024.76,4578.2,2887.5,6269.046,"molybdopterin-guanine dinucleotide biosynthesis adapter protein"
"ko:K09912",12623.79,3050.5,4893.97,8475.5,1749,4329,8651.75,33,1005.64,5883.5,7529.36,3835.85,1400.64,256.71,8314.43,13663,26613,1453,8298.5,3319.75,6268.9945,"uncharacterized protein"
"ko:K08068",12694.79,3339.5,5560.32,9422.4,1961.29,4323,8668,66,1773.56,6064.5,9245.36,3526.28,1185.64,3059,8027.33,12491.5,23057.45,2209.8,5394.5,3092.5,6258.136,"UDP-N-acetylglucosamine 2-epimerase (hydrolysing) [EC:3.2.1.183]"
"ko:K10672",27.6,390.8,5360.8,8493.94,887.93,0,0,0,13052.4,1035.2,9709.01,758.28,31.8,514.6,7586.34,2508.6,8706.8,60134.8,5881.14,76.2,6257.812,"glycine reductase complex component B subunit gamma [EC:1.21.4.2]"
"ko:K03668",12583.5,3050.5,2206.33,8460.5,1910.29,3774.5,8618.75,118.5,1528.22,5909.5,7532.36,3808.17,1295.64,2937,8471.43,13210,26679.67,1302,8382.25,3319.75,6254.943,"heat shock protein HslJ"
"ko:K07160",12674.17,3006.38,3107.85,8591.3,4700.29,4630,4341,284,2921.56,5561.5,7502.76,4693.1,1983.57,3026.17,9178.25,12403.65,19653.54,2001.8,11601.35,3009.5,6243.587,"5-oxoprolinase (ATP-hydrolysing) subunit A [EC:3.5.2.9]"
"ko:K03184",12623.79,3050.5,2073.69,8475.5,1910.29,3985,8651.75,33,1530.36,5883.5,7527.93,3767.71,1393.07,2846,8295.43,13210,26571,1352,8298.5,3319.75,6239.9385,"3-demethoxyubiquinol 3-hydroxylase [EC:1.14.99.60]"
"ko:K06381",1231.75,196.61,2033.42,5241.2,28919.31,453,982,16,23620.76,1042.42,4726.55,3790.14,6047.72,318.33,3653.38,2000.61,4451.98,28964.58,6897.24,190.6,6238.88,"stage II sporulation protein D"
"ko:K01572",238.44,332.33,2849.99,4429,18726.53,13952,12,0,8241.33,1350.5,5096.58,2191.62,4373.78,303,4593.87,1443,18086.07,30283.2,7957.06,46,6225.315,"not_found"
"ko:K15540",12611.08,2875.5,18121.83,8438.5,2047.58,4790,4428,182,1619.72,5399.5,7486.79,2744.14,315.21,5802.29,7977.43,15599.5,14307,1464,5304.5,2921.5,6221.8035,"chaperone protein EcpD"
"ko:K11206",12568.08,2601.5,5371.4,8505.4,2032.29,4584.7,4391.75,1022,1602.25,5692.5,5625.22,3571.78,376.95,3038.38,9568.69,6605.66,32555.84,1205.96,10125.85,3148.75,6209.7475,"deaminated glutathione amidase [EC:3.5.1.128]"
"ko:K00946",12515.79,2948.83,5402.39,8525.57,2239.79,5410.2,5239.75,1087,17986.41,5838.5,5419.69,4117.68,545.21,2919.67,8960.11,6607.83,17317.71,905.94,6839,3315.75,6207.141,"thiamine-monophosphate kinase [EC:2.7.4.16]"
"ko:K02478",12488.45,2735.23,2530.57,12587.7,3026.86,3342.5,4312,0,6194.62,5676.92,9112.27,3122.34,442.67,3261.83,9851.58,6984.8,2573.63,28204.4,4685.51,2911.1,6202.249,"two-component system, LytTR family, sensor kinase [EC:2.7.13.3]"
"ko:K02858",12570.79,2704.5,4901.29,8430.17,1890.22,18783,4221.75,29646,597.66,5322.67,5129.69,3422.76,1582.31,2872,7542.22,6497.5,735.01,288,3688.25,3197.75,6201.177,"3,4-dihydroxy 2-butanone 4-phosphate synthase [EC:4.1.99.12]"
"ko:K07149",2154.45,406.54,3068.52,6157.5,4040.47,29119,99,53,10058.08,938.46,5618.68,4457.75,2692.91,548.58,4356.25,3049.89,5763.81,31171.51,10001.1,137,6194.625,"uncharacterized protein"
"ko:K07079",392.48,343,2526.28,4225,29122.29,0,982,16,23884.44,1403.28,4917.46,4092.1,5913.98,287.44,3195.34,1671.66,2890,29841.8,7947.75,213,6193.265,"uncharacterized protein"
"ko:K16924",370.4,2362.61,1289.42,43,9495.17,30073.8,212,275.4,5532.8,1087.97,1816.6,18656.1,14448.44,108.5,4395.95,1760.39,4055.09,2893.65,12587.05,12244,6185.417,"energy-coupling factor transport system substrate-specific component"
"ko:K01912",12866.55,3283.5,1848.96,8599.48,9228.72,4178.5,5172,324,17842.22,6192.5,5520.25,9278.69,1508.87,2864.29,9133.16,6645.49,6017.97,968.06,9175.9,3054.5,6185.1805,"phenylacetate-CoA ligase [EC:6.2.1.30]"
"ko:K01581",12526.79,2793.5,8507.99,8413.5,9025.29,5685.2,4171.75,912,1315.36,5406.5,5425.79,4308.84,5105.57,2877.71,8119.75,6797.07,14770.07,755.75,13593.5,3148.75,6183.034,"ornithine decarboxylase [EC:4.1.1.17]"
"ko:K00433",1053.29,2212.13,2058.78,5207.7,52.6,15867,370,1437.4,8114,1360.39,5135.43,14918.69,6653.62,472.16,6762.38,1345.37,7096.01,28527.18,2350.37,12156.6,6157.555,"non-heme chloroperoxidase [EC:1.11.1.10]"
"ko:K21567",210.76,2574.16,506.31,72,9389.1,30687.8,212,393.4,5770.8,1080.97,1226.6,17019.95,14994.59,67,5088.95,3126.2,5554.19,1509.77,11245.87,12309,6151.971,"ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]"
"ko:K07076",14029.99,2622.23,5256.46,13567.7,1728.86,3331.5,4050,0,5345.48,5662.92,8619.8,2246.72,82.46,2940.45,9852.69,7529.8,2508.23,26434.2,4275.5,2888.1,6148.6545,"uncharacterized protein"
